date,alp,lib,nat,green,oth,alp_tpp,l_np_tpp,institute,mode,sample_size,l_np,onp
2013-09-01,33,NA,NA,10,11,46,54,Newspoll,NA,NA,46,NA
2013-09-01,35,NA,NA,11,10,48,52,Essential,NA,NA,44,NA
2013-08-29,35,NA,NA,10,9,47,53,Galaxy,NA,NA,46,NA
2013-08-29,30.5,NA,NA,12,13.5,46,54,Morgan ,NA,NA,44,NA
2013-08-26,35.7,NA,NA,10.1,7.7,47,53,ReachTEL,NA,NA,46.5,NA
2013-08-25,38,NA,NA,11,9,50,50,Essential,NA,NA,43,NA
2013-08-25,37,NA,NA,9,7,47,53,Newspoll,NA,NA,47,NA
2013-08-25,34.5,NA,NA,11,9.5,47.5,52.5,Morgan ,NA,NA,45,NA
2013-08-22,35,NA,NA,10,7,47,53,Nielsen,NA,NA,47,NA
2013-08-18,34,NA,NA,9,10,46,54,Newspoll,NA,NA,47,NA
2013-08-18,36.5,NA,NA,9.5,9.5,48,52,Morgan ,NA,NA,44.5,NA
2013-08-18,38,NA,NA,10,11,50,50,AMR,NA,NA,41,NA
2013-08-18,40,NA,NA,8,8,50,50,Essential,NA,NA,44,NA
2013-08-15,36,NA,NA,10,9,48,52,Galaxy,NA,NA,45,NA
2013-08-13,31,NA,NA,9,8,43,57,Morgan ,NA,NA,52,NA
2013-08-12,39,NA,NA,8,10,49,51,Essential,NA,NA,43,NA
2013-08-11,35,NA,NA,11,8,48,52,Newspoll,NA,NA,46,NA
2013-08-11,36.5,NA,NA,10.5,9,48.5,51.5,Morgan ,NA,NA,44,NA
2013-08-10,36.9,NA,NA,8.9,7.4,47,53,ReachTEL,NA,NA,46.9,NA
2013-08-09,38,NA,NA,10,7,49,51,Galaxy,NA,NA,45,NA
2013-08-08,37,NA,NA,10,8,48,52,Nielsen,NA,NA,46,NA
2013-08-04,37.5,NA,NA,8.2,8.6,48,52,ReachTEL,NA,NA,45.7,NA
2013-08-04,38,NA,NA,9.5,9.5,49.5,50.5,Morgan ,NA,NA,43,NA
2013-08-04,37,NA,NA,9,10,48,52,Newspoll,NA,NA,44,NA
2013-08-04,38,NA,NA,9,10,49,51,Essential,NA,NA,43,NA
2013-07-28,38.5,NA,NA,10.5,9.5,50.5,49.5,Morgan ,NA,NA,41.5,NA
2013-07-28,39,NA,NA,9,8,49,51,Essential,NA,NA,44,NA
2013-07-25,40,NA,NA,9,7,50,50,Galaxy,NA,NA,44,NA
2013-07-22,39,NA,NA,7,9,49,51,Essential,NA,NA,45,NA
2013-07-21,41.5,NA,NA,9,8.5,52,48,Morgan ,NA,NA,41,NA
2013-07-21,37,NA,NA,10,8,48,52,Newspoll,NA,NA,45,NA
2013-07-18,39.3,NA,NA,8.3,7,49,51,ReachTEL,NA,NA,45.4,NA
2013-07-14,42,NA,NA,7,10,51.5,48.5,Morgan ,NA,NA,41,NA
2013-07-14,39,NA,NA,7,8,48,52,Essential,NA,NA,46,NA
2013-07-13,39,NA,NA,9,8,50,50,Nielsen,NA,NA,44,NA
2013-07-08,42,NA,NA,7,8,51,49,AMR,NA,NA,43,NA
2013-07-07,38,NA,NA,9,11,50,50,Newspoll,NA,NA,42,NA
2013-07-07,41.5,NA,NA,8.5,10.5,52.5,47.5,Morgan ,NA,NA,39.5,NA
2013-07-07,38,NA,NA,8,7,48,52,Essential,NA,NA,46,NA
2013-06-30,35,NA,NA,11,11,49,51,Newspoll,NA,NA,43,NA
2013-06-30,39.5,NA,NA,8.5,11.5,51,49,Morgan ,NA,NA,40.5,NA
2013-06-30,36,NA,NA,9,9,47,53,Essential,NA,NA,46,NA
2013-06-28,38,NA,NA,10,8,49,51,Galaxy,NA,NA,44,NA
2013-06-27,38.3,NA,NA,8.7,7.8,48,52,ReachTEL,NA,NA,45.1,NA
2013-06-23,29,NA,NA,9,14,43,57,Newspoll,NA,NA,48,NA
2013-06-23,30.5,NA,NA,9,13.5,43.5,56.5,Morgan ,NA,NA,47,NA
2013-06-23,34,NA,NA,8,11,45,55,Essential,NA,NA,47,NA
2013-06-16,33,NA,NA,9,13.5,45.5,54.5,Morgan ,NA,NA,44.5,NA
2013-06-16,35,NA,NA,8,9,46,54,Essential,NA,NA,47,NA
2013-06-15,29,NA,NA,11,12,43,57,Nielsen,NA,NA,47,NA
2013-06-13,32,NA,NA,11,10,45,55,Galaxy,NA,NA,47,NA
2013-06-10,31,NA,NA,9.5,13.5,44,56,Morgan ,NA,NA,46,NA
2013-06-10,36,NA,NA,8,9,46,54,Essential,NA,NA,47,NA
2013-06-02,30,NA,NA,9,12,42,58,Newspoll,NA,NA,49,NA
2013-06-02,31.5,NA,NA,9.5,13.5,44.5,55.5,Morgan ,NA,NA,45.5,NA
2013-06-02,35,NA,NA,8,9,45,55,Essential,NA,NA,48,NA
2013-05-26,33.5,NA,NA,9.5,11.5,45.5,54.5,Morgan ,NA,NA,45.5,NA
2013-05-26,34,NA,NA,8,10,45,55,Essential,NA,NA,48,NA
2013-05-19,31,NA,NA,9,14,44,56,Newspoll,NA,NA,46,NA
2013-05-19,32,NA,NA,10,12.5,45,55,Morgan ,NA,NA,45.5,NA
2013-05-19,35,NA,NA,8,9,45,55,Essential,NA,NA,48,NA
2013-05-18,32,NA,NA,11,13,46,54,Nielsen,NA,NA,44,NA
2013-05-16,34,NA,NA,10,10,46,54,Galaxy,NA,NA,46,NA
2013-05-12,32,NA,NA,9.5,12,44,56,Morgan ,NA,NA,46.5,NA
2013-05-12,34,NA,NA,9,10,45,55,Essential,NA,NA,48,NA
2013-05-05,31,NA,NA,10,12,44,56,Newspoll,NA,NA,47,NA
2013-05-05,32,NA,NA,8.5,13.5,44,56,Morgan ,NA,NA,46,NA
