election_year,state,dem_result,rep_result,rep_result2,dem_result2
1998,AK,0.19721199060444441,0.7449133706330278,0.7906733023879026,0.20932669761209746
1998,AL,0.3669136890610443,0.6324183067175402,0.6328410472085605,0.3671589527914395
1998,AR,0.5506006440925131,0.42217025217206433,0.43398733843003573,0.5660126615699643
1998,AZ,0.2716169272066951,0.687447694615506,0.716789754280969,0.283210245719031
1998,CA,0.5305710303474354,0.4301153586331894,0.4477167195941859,0.5522832804058141
1998,CO,0.3501670766669053,0.6248855703775141,0.6408736720747007,0.3591263279252993
1998,CT,0.6514608738388544,0.3236816156656025,0.33193263461434175,0.6680673653856583
1998,FL,0.6246937947705762,0.3753062052294238,0.3753062052294238,0.6246937947705762
1998,GA,0.45149670487179533,0.5236970431932897,0.5370184583651965,0.4629815416348036
1998,HI,0.7918437471742472,0.17824597361626027,0.18374174037326263,0.8162582596267374
1998,IA,0.30493392284264176,0.6841177457282202,0.691690603703992,0.30830939629600795
1998,ID,0.2839301485559557,0.6953571636336713,0.7100645081154935,0.2899354918845064
1998,IL,0.47443983996563877,0.5034704454619665,0.5148431844561455,0.4851568155438545
1998,IN,0.6371856778569032,0.34793282458893493,0.3531888028953799,0.6468111971046201
1998,KS,0.3158782018491934,0.6526615844100127,0.6738614083483234,0.3261385916516767
1998,KY,0.49156986032997674,0.4974768948170705,0.5029862261093084,0.4970137738906916
1998,LA,0.6402439213137082,0.3163713093229739,0.33071949848886545,0.6692805015111345
1998,MD,0.705039712838992,0.294960287161008,0.294960287161008,0.705039712838992
1998,MO,0.437711219216454,0.5267598774016921,0.5461645032689322,0.4538354967310678
1998,NC,0.511512849732847,0.4701171835202568,0.47891483307850424,0.5210851669214958
1998,ND,0.631553539122039,0.35158278574039875,0.3576134630053394,0.6423865369946605
1998,NH,0.28244083178686735,0.6783594325952665,0.7060358513030824,0.2939641486969176
1998,NV,0.47863783198428866,0.47771782023750525,0.499519001249877,0.500480998750123
1998,NY,0.47823102653632543,0.33672232802532004,0.4131798785053647,0.5868201214946354
1998,OH,0.43534112669345787,0.5645971875402976,0.564632017298931,0.43536798270106913
1998,OK,0.3127764730788065,0.6638052466346327,0.6797231949307987,0.32027680506920125
1998,OR,0.6105361946844858,0.33794678044315934,0.35630242113484334,0.6436975788651568
1998,PA,0.34787467383759046,0.6134169445196769,0.6381174378363282,0.3618825621636718
1998,SC,0.5269820394120833,0.4566971263620572,0.4642744730723696,0.5357255269276303
1998,SD,0.6214313783091896,0.3640862077516777,0.3694365406577241,0.6305634593422759
1998,UT,0.329701015742288,0.6398186333245102,0.6599336423355231,0.340066357664477
1998,VT,0.7221542170475995,0.22449961688687883,0.23715069737140826,0.7628493026285917
1998,WA,0.584139988064987,0.41586001193501293,0.41586001193501293,0.584139988064987
1998,WI,0.5054752401700101,0.4840155471605533,0.48915619362796164,0.5108438063720384
2000,CA,0.5584281724250367,0.3658693920182296,0.39583507096938453,0.6041649290306155
2000,CT,0.632141122171711,0.3417145785621627,0.3508883074819555,0.6491116925180446
2000,DE,0.5552595927129939,0.4369848895847923,0.4404004228603482,0.5595995771396518
2000,FL,0.5104361118856235,0.4619211638711083,0.4750529207606542,0.5249470792393458
2000,HI,0.7268468822966064,0.24506760256117213,0.25214934686052465,0.7478506531394754
2000,IN,0.3185111567217926,0.6656433009557577,0.6763606014919358,0.3236393985080643
2000,MA,0.6910975959456455,0.12228790423577054,0.15034433759698898,0.849655662403011
2000,MD,0.6317809150761878,0.3673423055547851,0.36766466634896006,0.6323353336510399
2000,ME,0.31058701596542293,0.6894129840345771,0.6894129840345771,0.31058701596542293
2000,MI,0.4947475636954328,0.47860934787537923,0.49171002145861914,0.5082899785413809
2000,MN,0.48834190252612086,0.4329263655601111,0.46992432123971584,0.5300756787602842
2000,MO,0.5046659321320502,0.483934101912867,0.4895145511302697,0.5104854488697304
2000,MS,0.31594014549200117,0.658798926513664,0.6758720825236757,0.3241279174763243
2000,MT,0.47237494563910193,0.5055429894485193,0.5169585006161307,0.4830414993838693
2000,ND,0.6137254424617182,0.38627455753828177,0.38627455753828177,0.6137254424617182
2000,NE,0.5099920560410197,0.48815916805084136,0.48906333656503687,0.5109366634349631
2000,NJ,0.5011294369196548,0.47096358942083033,0.48448407370414637,0.5155159262958536
2000,NM,0.6170109545634967,0.3825395317594135,0.3827115658426402,0.6172884341573598
2000,NV,0.39658708070894977,0.5504331065155732,0.5812263708218868,0.4187736291781132
2000,NY,0.5118660934970692,0.3914829484535312,0.43336842158840677,0.5666315784115932
2000,OH,0.35853840169519835,0.5991528953531524,0.6256221573692583,0.3743778426307417
2000,PA,0.4550908573306335,0.5241607597364035,0.535266677737353,0.46473332226264696
2000,RI,0.411452065015472,0.5687652835164161,0.580244049310369,0.4197559506896309
2000,TN,0.3220718723766769,0.6509569312246677,0.669000679954556,0.33099932004544397
2000,TX,0.3230752442100816,0.6507621932736053,0.6682452000973791,0.33175479990262086
2000,UT,0.3151458222901271,0.6558404269693284,0.6754373993138625,0.32456260068613757
2000,VA,0.4768026057452799,0.5225543455268566,0.5228905896553463,0.4771094103446537
2000,VT,0.2542530329289428,0.6555736568457539,0.7205478408289997,0.27945215917100025
2000,WA,0.4873028493377087,0.486397259422462,0.4995349749337094,0.5004650250662905
2000,WI,0.615427921056123,0.37035955124301057,0.375699186336004,0.624300813663996
2000,WV,0.7775192757967578,0.20155697731645117,0.20586443259710585,0.7941355674028941
2000,WY,0.22038388272902149,0.7377269387201101,0.769980802016521,0.23001919798347897
