"","jpg","candidate","party","clarifai_gender","clarifai_race"
"162","jacky_rosen.jpg","Jacky Rosen","DEM","Feminine","White"
"163","jaime_harrison.jpg","Jaime Harrison","DEM","Masculine","Black"
"164","james_huffman.jpg","Jim Huffman","REP","Masculine","Middle Eastern"
"165","jan_ting.jpg","Jan Ting","REP","Masculine","East Asian"
"166","jane_raybould.jpg","Jane Raybould","DEM","Feminine","White"
"167","jason_kander.jpg","Jason Kander","DEM","Masculine","White"
"168","jason_lewis.jpg","Jason Lewis","REP","Masculine","White"
"169","jay_nixon.jpg","Jay Nixon","DEM","Masculine","White"
"170","jay_williams.jpg","Jay Williams","DEM","Masculine","White"
"171","jean_carnahan.jpg","Jean Carnahan","DEM","Feminine","White"
"172","jean_hay_bright.jpg","Jean Hay Bright","DEM","Feminine","White"
"173","jeanne_shaheen.jpg","Jeanne Shaheen","DEM","Feminine","White"
"174","jeff_beatty.jpg","Jeff Beatty","REP","Masculine","White"
"175","jeff_bell.jpg","Jeff Bell","REP","Masculine","White"
"176","jeff_bingaman.jpg","Jeff Bingaman","DEM","Masculine","White"
"177","jeff_clark.jpg","Jeff Clark","DEM","Masculine","White"
"178","jeff_flake.jpg","Jeff Flake","REP","Masculine","White"
"179","jeff_merkley.jpg","Jeff Merkley","DEM","Masculine","White"
"180","jeff_sessions.jpg","Jeff Sessions","REP","Masculine","White"
"181","jim_barksdale.jpg","Jim Barksdale","DEM","Masculine","White"
"182","jim_bunning.jpg","Jim Bunning","REP","Masculine","White"
"183","jim_demint.jpg","Jim DeMint","REP","Masculine","Middle Eastern"
"184","jim_durkin.jpg","Jim Durkin","REP","Masculine","White"
"185","jim_gilmore.jpg","Jim Gilmore","REP","Masculine","East Asian"
"186","jim_gray.jpg","Jim Gray","DEM","Masculine","White"
"187","jim_holt.jpg","Jim Holt","REP","Masculine","White"
"188","jim_inhofe.jpg","Jim Inhofe","REP","Masculine","White"
"189","jim_jeffords.jpg","Jim Jeffords","REP","Masculine","White"
"190","jim_martin.png","Jim Martin","DEM","Masculine","White"
"191","jim_newberger.jpg","Jim Newberger","REP","Masculine","White"
"192","jim_oberweis.jpg","Jim Oberweis","REP","Feminine","White"
"193","jim_pederson.jpg","Jim Pederson","DEM","Masculine","White"
"194","jim_renacci.jpg","Jim Renacci","REP","Masculine","White"
"195","jim_risch.jpg","Jim Risch","REP","Masculine","White"
"196","jim_rogers.jpg","Jim Rogers","DEM","Masculine","White"
"197","jim_slattery.jpg","Jim Slattery","DEM","Masculine","White"
"198","jim_talent.jpg","Jim Talent","REP","Masculine","White"
"199","jim_webb.jpg","Jim Webb","DEM","Masculine","White"
"200","jo_rae_perkins.jpg","Jo Rae Perkins","REP","Feminine","White"
"201","joe_biden.jpg","Joe Biden","DEM","Masculine","White"
"202","joe_donnelly.jpg","Joe Donnelly","DEM","Masculine","White"
"203","joe_heck.jpg","Joe Heck","REP","Masculine","White"
"204","joe_kyrillos.jpg","Joe Kyrillos","REP","Masculine","Middle Eastern"
"205","joe_lieberman.jpg","Joe Lieberman","DEM","Masculine","White"
"206","joe_manchin.jpg","Joe Manchin","DEM","Masculine","White"
"207","joel_dykstra.jpg","Joel Dykstra","REP","Masculine","White"
"208","john_ashcroft.jpg","John Ashcroft","REP","Masculine","White"
"209","john_boozman.jpg","John Boozman","REP","Masculine","White"
"210","john_cornyn.jpg","John Cornyn","REP","Masculine","White"
"211","john_e_sununu.jpg","John E. Sununu","REP","Masculine","Middle Eastern"
"212","john_edwards.jpg","John Edwards","DEM","Masculine","White"
"213","john_ensign.jpg","John Ensign","REP","Masculine","Latino_Hispanic"
"214","john_gillespie.jpg","John Gillespie","REP","Masculine","East Asian"
"215","john_hickenlooper.jpg","John Hickenlooper","DEM","Masculine","White"
"216","john_james.jpg","John James","REP","Masculine","Black"
"217","john_kennedy.jpg","John Kennedy","REP","Feminine","White"
"218","john_kerry.jpg","John Kerry","DEM","Masculine","White"
"219","john_mccain.jpg","John McCain","REP","Masculine","White"
"220","john_raese.jpg","John Raese","REP","Masculine","White"
"221","john_thune.jpg","John Thune","REP","Masculine","White"
"222","johnny_isakson.jpg","Johnny Isakson","REP","Masculine","White"
"223","jon_corzine.jpg","Jon Corzine","DEM","Masculine","White"
"224","jon_kyl.jpg","Jon Kyl","REP","Masculine","White"
"225","jon_ossoff.jpg","Jon Ossoff","DEM","Masculine","White"
"226","jon_tester.jpg","Jon Tester","DEM","Masculine","White"
"227","joni_ernst.jpg","Joni Ernst","REP","Feminine","White"
"228","josh_hawley.jpg","Josh Hawley","REP","Masculine","White"
"229","josh_mandel.jpg","Josh Mandel","REP","Masculine","White"
"230","kathy_szeliga.jpg","Kathy Szeliga","REP","Feminine","White"
"231","kay_bailey_hutchison.jpg","Kay Bailey Hutchison","REP","Feminine","White"
"232","kay_hagan.jpg","Kay Hagan","DEM","Feminine","White"
"233","kelly_ayotte.jpg","Kelly Ayotte","REP","Feminine","White"
"234","kelly_loeffler.jpg","Kelly Loeffler"," REP","Feminine","White"
"235","ken_buck.jpg","Ken Buck","REP","Masculine","White"
"236","ken_salazar.jpg","Ken Salazar","DEM","Masculine","White"
"237","kenneth_chase.jpg","Kenneth Chase","REP","Masculine","White"
"238","kent_conrad.jpg","Kent Conrad","DEM","Masculine","White"
"239","kevin_cramer.jpg","Kevin Cramer","REP","Masculine","White"
"240","kevin_o'connor.jpg","Kevin O'Connor","REP","Masculine","White"
"241","kevin_wade.jpg","Kevin Wade"," REP","Masculine","White"
"242","kirsten_gillibrand.jpg","Kirsten Gillibrand","DEM","Feminine","White"
"243","kit_bond.jpg","Kit Bond","REP","Masculine","White"
"244","kurt_bills.jpg","Kurt Bills","REP","Masculine","White"
"245","kyrsten_sinema.jpg","Kyrsten Sinema","DEM","Feminine","White"
"246","lamar_alexander.jpg","Lamar Alexander","REP","Masculine","White"
"247","larry_craig.jpg","Larry Craig","REP","Masculine","White"
"248","larry_larocco.jpg","Larry LaRocco","DEM","Masculine","White"
"249","lauch_faircloth.jpg","Lauch Faircloth","REP","Masculine","White"
"250","lauren_witzke.jpg","Lauren Witzke","REP","Feminine","White"
"251","leah_vukmir.jpg","Leah Vukmir","REP","Feminine","White"
"252","lee_fisher.jpg","Lee Fisher","DEM","Masculine","White"
"253","lee_jones.jpg","Lee Jones","DEM","Masculine","White"
"254","len_britton.jpg","Len Britton","REP","Masculine","White"
"255","lincoln_chafee.jpg","Lincoln Chafee","REP","Masculine","White"
"256","linda_lingle.jpg","Linda Lingle","REP","Feminine","White"
"257","linda_mcmahon.jpg","Linda McMahon","REP","Feminine","White"
"258","linda_smith.jpg","Linda Smith","REP","Feminine","White"
"259","lindsey_graham.jpg","Lindsey Graham","REP","Feminine","White"
"260","lisa_murkowski.jpg","Lisa Murkowski","REP","Feminine","Middle Eastern"
"261","lois_combs_weinberg.jpg","Lois Combs Weinberg","DEM","Feminine","White"
"262","lou_barletta.jpg","Lou Barletta","REP","Masculine","Latino_Hispanic"
"263","mack_mattingly.jpg","Mack Mattingly","REP","Masculine","White"
"264","maggie_hassan.jpg","Maggie Hassan","DEM","Feminine","White"
"265","marco_rubio.jpg","Marco Rubio","REP","Masculine","White"
"266","maria_cantwell.jpg","Maria Cantwell","DEM","Feminine","White"
"267","mark_begich.jpg","Mark Begich","DEM","Masculine","White"
"268","mark_clayton.jpg","Mark Clayton","DEM","Masculine","Middle Eastern"
"269","mark_curran.jpg","Mark Curran","REP","Masculine","White"
"270","mark_dayton.jpg","Mark Dayton","DEM","Masculine","White"
"271","mark_kelly.jpg","Mark Kelly"," DEM","Masculine","White"
"272","mark_kennedy.jpg","Mark Kennedy","REP","Masculine","White"
"273","mark_kirk.jpg","Mark Kirk","REP","Masculine","White"
"274","mark_neumann.jpg","Mark Neumann","REP","Masculine","White"
"275","mark_pryor.jpg","Mark Pryor","DEM","Masculine","White"
"276","mark_ronchetti.jpg","Mark Ronchetti","REP","Masculine","White"
"277","mark_udall.jpg","Mark Udall","DEM","Masculine","White"
"278","mark_warner.jpg","Mark Warner","DEM","Masculine","White"
"279","marquita_bradshaw.jpg","Marquita Bradshaw","DEM","Feminine","Black"
"280","marsha_blackburn.jpg","Marsha Blackburn","REP","Feminine","White"
"281","martha_coakley.jpg","Martha Coakley","DEM","Feminine","White"
"282","martha_mcsally.jpg","Martha McSally","REP","Feminine","White"
"283","martin_heinrich.jpg","Martin Heinrich","DEM","Masculine","White"
"284","marvin_scott.jpg","Marvin Scott","REP","Masculine","Black"
"285","mary_landrieu.jpg","Mary Landrieu","DEM","Feminine","White"
"286","mary_oboyle.jpg","Mary Boyle","DEM","Feminine","White"
"287","matt_fong.jpg","Matt Fong","REP","Masculine","East Asian"
"288","matt_rosendale.jpg","Matt Rosendale","REP","Masculine","White"
"289","matthew_corey.jpg","Matthew Corey","REP","Masculine","White"
"290","max_baucus.jpg","Max Baucus","DEM","Masculine","White"
"291","max_cleland.jpg","Max Cleland","DEM","Masculine","White"
"292","mazie_hirono.jpg","Mazie Hirono","DEM","Feminine","East Asian"
"293","mel_carnahan.jpg","Mel Carnahan","DEM","Masculine","White"
"294","mel_logan.jpg","Mel Logan","DEM","Masculine","White"
"295","merav_ben-david.jpg","Merav Ben-David","DEM","Masculine","White"
"296","michael_baumgartner.jpg","Michael Baumgartner","REP","Masculine","White"
"297","michael_bennet.jpg","Michael Bennet","DEM","Masculine","White"
"298","michael_coles.jpg","Michael Coles","DEM","Masculine","Middle Eastern"
"299","michael_steele.jpg","Michael Steele","REP","Masculine","Indian"
"300","michael_thurmond.jpg","Michael Thurmond","DEM","Masculine","Black"
"301","michelle_nunn.jpg","Michelle Nunn","DEM","Feminine","White"
"302","mick_rich.jpg","Mick Rich","REP","Masculine","White"
"303","mike_bouchard.jpg","Mike Bouchard","REP","Masculine","White"
"304","mike_braun.jpg","Mike Braun","REP","Masculine","White"
"305","mike_crapo.jpg","Mike Crapo","REP","Masculine","White"
"306","mike_dewine.jpg","Mike DeWine","REP","Masculine","White"
"307","mike_enzi.jpg","Mike Enzi","REP","Masculine","White"
"308","mike_espy.jpg","Mike Espy","DEM","Masculine","Latino_Hispanic"
"309","mike_johanns.jpg","Mike Johanns","REP","Masculine","White"
"310","mike_lee.jpg","Mike Lee","REP","Masculine","White"
"311","mike_liffrig.jpg","Mike Liffrig","REP","Masculine","White"
"312","mike_mcfadden.jpg","Mike McFadden","REP","Masculine","White"
"313","mike_mcgavick.jpg","Mike McGavick","REP","Masculine","Middle Eastern"
"314","mike_rounds.jpg","Mike Rounds","REP","Masculine","White"
"315","mike_taylor.jpg","Mike Taylor","REP","Masculine","White"
"316","misty_snow.jpg","Misty K. Snow","DEM","Feminine","White"
"317","mitch_mcconnell.jpg","Mitch McConnell","REP","Masculine","White"
"318","mj_hegar.jpg","MJ Hegar","DEM","Feminine","White"
"319","monica_wehby.jpeg","Monica Wehby","REP","Feminine","White"
"320","nancy_farmer.jpg","Nancy Farmer","DEM","Feminine","White"
"321","ned_lamont.jpg","Ned Lamont","DEM","Feminine","White"
"322","norm_coleman.jpg","Norm Coleman","REP","Masculine","White"
"323","olympia_snowe.jpg","Olympia Snowe","REP","Feminine","White"
"324","orrin_hatch.jpg","Orrin Hatch","REP","Masculine","White"
"325","pat_roberts.jpg","Pat Roberts","REP","Masculine","White"
"326","patrick_leahy.jpg","Patrick Leahy","DEM","Masculine","White"
"327","patrick_morrisey.jpg","Patrick Morrisey","REP","Masculine","White"
"328","patrick_murphy.jpg","Patrick Murphy","DEM","Masculine","White"
"329","patty_judge.jpg","Patty Judge","DEM","Feminine","White"
"330","patty_murray.jpg","Patty Murray","DEM","Feminine","White"
"331","paul_d_coverdell.jpg","Paul Coverdell","REP","Masculine","White"
"332","paul_hodes.jpg","Paul Hodes","DEM","Masculine","Middle Eastern"
"333","paul_rappaport.jpg","Paul Rappaport","REP","Masculine","White"
"334","paul_sadler.jpg","Paul Sadler","DEM","Masculine","White"
"335","paul_sarbanes.jpg","Paul Sarbanes","DEM","Masculine","White"
"336","paul_van_dam.jpg","Paul Van Dam","DEM","Masculine","White"
"337","paula_jean_swearengin.jpg","Paula Jean Swearengin","DEM","Feminine","White"
"338","paulette_jordan.jpg","Paulette Jordan","DEM","Feminine","Latino_Hispanic"
"339","pete_ashdown.jpg","Pete Ashdown","DEM","Masculine","White"
"340","pete_coors.jpg","Pete Coors","REP","Masculine","Middle Eastern"
"341","pete_domenici.jpg","Pete Domenici","REP","Masculine","Latino_Hispanic"
"342","pete_hoekstra.jpg","Pete Hoekstra","REP","Masculine","White"
"343","peter_fitzgerald.jpg","Peter Fitzgerald","REP","Masculine","White"
"344","phil_bredesen.jpg","Phil Bredesen","DEM","Masculine","White"
"345","philip_giordano.jpg","Philip Giordano","REP","Masculine","Middle Eastern"
"346","rand_paul.jpg","Rand Paul","REP","Masculine","White"
"347","raphael_warnock.jpg","Raphael Warnock"," DEM","Masculine","Black"
"348","richard_blumenthal.jpg","Richard Blumenthal","DEM","Masculine","White"
"349","richard_burr.jpg","Richard Burr","REP","Masculine","White"
"350","richard_carmona.jpg","Richard Carmona","DEM","Masculine","White"
"351","richard_lugar.jpg","Richard Lugar","REP","Masculine","White"
"352","richard_mourdock.jpg","Richard Mourdock","REP","Masculine","White"
"353","richard_shelby.jpg","Richard Shelby","REP","Masculine","White"
"354","richard_ziser.jpg","Richard Ziser","REP","Masculine","White"
"355","rick_lazio.jpg","Rick Lazio","REP","Masculine","Latino_Hispanic"
"356","rick_noriega.jpg","Rick Noriega","DEM","Masculine","Latino_Hispanic"
"357","rick_santorum.jpg","Rick Santorum","REP","Masculine","White"
"358","rick_scott.jpg","Rick Scott","REP","Masculine","White"
"359","rick_weiland.jpg","Rick Weiland","DEM","Masculine","White"
"360","ricky_dale_harrington.jpg","Ricky Dale Harrington","LIB","Masculine","Indian"
"361","rik_mehta.jpg","Rik Mehta","REP","Masculine","Black"
"362","rob_portman.jpg","Rob Portman","REP","Masculine","Middle Eastern"
"363","robert_arlett.jpg","Robert Arlett"," REP","Masculine","White"
"364","robert_flanders.jpg","Robert Flanders","REP","Masculine","White"
"365","robert_lorge.jpg","Robert Lorge","REP","Masculine","Middle Eastern"
"366","robert_tingle.jpg","Robert Tingle","REP","Masculine","White"
"367","robert_weygand.jpg","Robert Weygand","DEM","Masculine","White"
"368","robin_carnahan.jpg","Robin Carnahan","DEM","Feminine","White"
"369","rocky_raczkowski.jpg","Rocky Raczkowski","REP","Masculine","White"
"370","rod_grams.jpg","Rod Grams","REP","Masculine","White"
"371","rodney_glassman.jpg","Rodney Glassman","DEM","Masculine","White"
"372","roger_f_wicker.jpg","Roger Wicker","REP","Masculine","White"
"373","roger_marshall.jpg","Roger Marshall","REP","Masculine","White"
"374","ron_johnson.jpg","Ron Johnson","REP","Masculine","White"
"375","ron_kirk.jpg","Ron Kirk","DEM","Masculine","Black"
"376","ron_wyden.jpg","Ron Wyden","DEM","Masculine","White"
"377","ronald_klink.jpg","Ron Klink","DEM","Masculine","White"
"378","ronnie_musgrove.jpg","Ronnie Musgrove","DEM","Masculine","White"
"379","roxanne_conlin.jpg","Roxanne Conlin","DEM","Feminine","White"
"380","roy_blunt.jpg","Roy Blunt","REP","Masculine","Middle Eastern"
"381","russ_feingold.jpg","Russ Feingold","DEM","Masculine","Middle Eastern"
"382","sam_brownback.jpg","Sam Brownback","REP","Masculine","White"
"383","sam_granato.jpg","Sam Granato","DEM","Masculine","Middle Eastern"
"384","sara_gideon.jpg","Sara Gideon","DEM","Feminine","Latino_Hispanic"
"385","saxby_chambliss.jpg","Saxby Chambliss","REP","Masculine","White"
"386","scott_brown.jpg","Scott Brown","REP","Masculine","White"
"387","scott_howell.jpg","Scott Howell","DEM","Masculine","White"
"388","scott_kleeb.jpg","Scott Kleeb","DEM","Masculine","White"
"389","scott_milne.jpg","Scott Milne","REP","Masculine","White"
"390","scotty_baesler.jpg","Scotty Baesler","DEM","Masculine","White"
"391","sharron_angle.jpg","Sharron Angle","REP","Feminine","White"
"392","sheldon_whitehouse.jpg","Sheldon Whitehouse","DEM","Masculine","White"
"393","shelley_berkley.jpg","Shelley Berkley","DEM","Feminine","White"
