"","White","Latino_Hispanic","Middle Eastern","Indian","Black","East Asian","Southeast Asian","jpg"
"1",0.996026992797852,0.0023763538338244,0.00153358862735331,2.61622626567259e-05,1.59238952619489e-05,1.24206108012004e-05,8.562423317926e-06,"abby_broyles.jpg"
"2",9.00234517757781e-05,0.00318235671147704,0.000541384797543287,0.0635308176279068,0.93240362405777,1.60836461873259e-05,0.0002356611948926,"adrian_perkins.jpg"
"3",0.49276003241539,0.118026331067085,0.374868243932724,0.00620025442913175,0.00646483199670911,0.00113820168189704,0.000542097317520529,"al_damato.jpg"
"4",0.951565682888031,0.0233982838690281,0.0236371494829655,0.000331123621435836,0.000264504575170577,0.00068589998409152,0.00011740129411919,"al_franken.jpg"
"5",0.992766618728638,0.00348472921177745,0.0032831106800586,3.28296337102074e-05,1.63997101481073e-05,0.000345200940500945,7.11904358468018e-05,"al_gross.jpg"
"6",0.613370001316071,0.0334723182022572,0.351930469274521,0.000749335682485253,9.39538222155534e-05,0.000221649621380493,0.000162224052473903,"alan_blinken.jpg"
"7",0.000222119750105776,0.0283162221312523,0.00383022683672607,0.0351332277059555,0.925443053245544,0.000628357811365277,0.00642690481618047,"alan_keyes.jpg"
"8",0.578798174858093,0.00826356466859579,0.412630498409271,0.00017127237515524,8.69440373207908e-06,7.4617208156269e-05,5.31071673322003e-05,"alan_schlesinger.jpg"
"9",0.99583226442337,0.000431313528679311,0.00361331994645298,6.44204419586458e-06,3.15244869852904e-06,9.83938516583294e-05,1.51391295730718e-05,"alex_sanders.jpg"
"10",0.0066695986315608,0.0143033247441053,0.978056311607361,0.000660492456518114,0.000113316578790545,5.99970589973964e-05,0.000137053852085955,"alexi_giannoulias.jpg"
"11",0.124722875654697,0.101472422480583,0.765675246715546,0.000633290212135762,0.00315181189216673,0.00298638991080225,0.00135794654488564,"alison_lundergan_grimes.jpg"
"12",0.846620142459869,0.00113087997306138,0.152083769440651,4.71381354145706e-05,2.99561925203307e-05,6.25469401711598e-05,2.55556824413361e-05,"allen_mcculloch.jpg"
"13",0.0857749804854393,0.851796269416809,0.00482388818636537,0.0168651510030031,0.0305136423557997,0.00411337055265903,0.00611274084076285,"allen_waters.jpg"
"14",0.999039173126221,0.00022365539916791,0.000698033545631915,3.28766213897325e-06,2.37829158322711e-06,2.54385067819385e-05,8.1097568909172e-06,"allen_weh.jpg"
"15",1.08007867538618e-07,8.03347120381659e-06,4.07936312285528e-07,4.30854743171949e-05,0.999946236610413,1.61460533831814e-07,2.06184017770283e-06,"alvin_greene.jpg"
"16",0.99134773015976,0.000901252147741616,0.0076747378334403,3.24819629895501e-05,3.5955231396656e-06,2.80325202766107e-05,1.22605351862148e-05,"amanda_curtis.jpg"
"17",0.999556362628937,3.09830611513462e-05,0.000406993873184547,2.25908848960898e-07,4.08514289063078e-08,4.57383475804818e-06,8.51894128572894e-07,"amy_klobuchar.jpg"
"18",0.998697102069855,0.000515220104716718,0.000662047707010061,7.43856708140811e-06,1.21361233595962e-06,0.000108159161754884,8.75218665896682e-06,"amy_mcgrath.jpg"
"19",0.714847981929779,0.0067885322496295,0.277953565120697,0.000314702891046181,8.16484225651948e-06,5.93479235249106e-05,2.76386981568066e-05,"andrew_rice.jpg"
"20",0.997817516326904,0.000559801526833326,0.00156075519043952,3.09694655697967e-06,1.00161093996576e-06,4.79362934129313e-05,9.89817635854706e-06,"ann_kirkpatrick.jpg"
"21",0.99649965763092,0.000743720447644591,0.00265574757941067,1.51845397340367e-05,2.22846597353055e-06,6.29025234957226e-05,2.05367687158287e-05,"arlen_specter.jpg"
"22",0.998428642749786,0.000890445720870048,0.000646592816337943,3.5729226510739e-06,4.8088195399032e-06,2.20926758629503e-05,3.70810857930337e-06,"arthur_small.jpg"
"23",0.0312156677246094,0.84861820936203,0.00104014936368912,0.0297288987785578,0.0871187150478363,0.000307472102576867,0.00197088369168341,"barack_obama.jpg"
"24",0.995847582817078,0.000367878819815814,0.00364236533641815,3.21088300552219e-05,1.89368495284725e-06,8.97663485375233e-05,1.84536074812058e-05,"barbara_ann_radnofsky.jpg"
"25",0.998019695281982,0.00128095410764217,0.000667405081912875,2.39597356994636e-05,2.01672219191096e-06,3.54815665559727e-06,2.35472202803066e-06,"barbara_bollier.jpg"
"26",0.352902889251709,0.0156079642474651,0.630665719509125,0.000528022181242704,1.13342039185227e-05,0.000168051818036474,0.000115993396320846,"barbara_boxer.jpg"
"27",0.993165671825409,0.0043878392316401,0.00175763492006809,9.08616311789956e-06,7.51355173633783e-06,0.000627441389951855,4.48210557806306e-05,"barbara_mikulski.jpg"
"28",0.987233281135559,0.000364734296454117,0.0123707288876176,1.78389382199384e-05,5.76700358578819e-07,1.07972482510377e-05,1.99586952476238e-06,"barry_hinckley.jpg"
"29",0.990377902984619,0.00143194291740656,0.00203638081438839,1.28543561004335e-05,6.22893567197025e-05,0.00499442964792252,0.00108425249345601,"ben_cardin.jpg"
"30",0.951007604598999,0.0188290178775787,0.029884422197938,0.000192587933270261,9.12228642846458e-06,5.01674621773418e-05,2.71605076704873e-05,"ben_nelson.jpg"
"31",0.110387958586216,0.765342652797699,0.100234262645245,0.0194198694080114,0.0030112552922219,0.000878601742442697,0.000725415593478829,"ben_ray_lujan.jpg"
"32",0.997180938720703,0.00153000024147332,0.00126065267249942,1.03901393231354e-05,2.4654957542225e-06,1.21753355415422e-05,3.31233832184807e-06,"ben_sasse.jpg"
