"","Feminine","Masculine","jpg"
"1",0.999987125396729,1.28216643133783e-05,"abby_broyles.jpg"
"2",3.2161674425879e-06,0.999996781349182,"adrian_perkins.jpg"
"3",0.000304723653243855,0.999695301055908,"al_damato.jpg"
"4",1.40686051963712e-05,0.999985933303833,"al_franken.jpg"
"5",7.69661528465804e-06,0.999992251396179,"al_gross.jpg"
"6",2.8556529287016e-05,0.999971389770508,"alan_blinken.jpg"
"7",0.00041759037412703,0.999582469463348,"alan_keyes.jpg"
"8",1.34065821839613e-05,0.99998664855957,"alan_schlesinger.jpg"
"9",2.05456872208742e-05,0.999979496002197,"alex_sanders.jpg"
"10",3.83349015464773e-06,0.999996185302734,"alexi_giannoulias.jpg"
"11",0.999990105628967,9.93310550256865e-06,"alison_lundergan_grimes.jpg"
"12",5.19339337188285e-05,0.999948024749756,"allen_mcculloch.jpg"
"13",2.17899651033804e-06,0.999997854232788,"allen_waters.jpg"
"14",1.22836163427564e-05,0.999987721443176,"allen_weh.jpg"
"15",6.67826907374547e-06,0.999993324279785,"alvin_greene.jpg"
"16",0.999962091445923,3.79454104404431e-05,"amanda_curtis.jpg"
"17",0.999924898147583,7.51491825212725e-05,"amy_klobuchar.jpg"
"18",0.996772348880768,0.00322764716111124,"amy_mcgrath.jpg"
"19",3.22706182487309e-06,0.999996781349182,"andrew_rice.jpg"
"20",0.999982953071594,1.7033939002431e-05,"ann_kirkpatrick.jpg"
"21",0.00100026617292315,0.998999774456024,"arlen_specter.jpg"
"22",0.00016335109830834,0.999836564064026,"arthur_small.jpg"
"23",5.24838333149091e-06,0.99999475479126,"barack_obama.jpg"
"24",0.999970674514771,2.92830136459088e-05,"barbara_ann_radnofsky.jpg"
"25",0.999903678894043,9.63317943387665e-05,"barbara_bollier.jpg"
"26",0.999838471412659,0.000161529940669425,"barbara_boxer.jpg"
"27",0.999974370002747,2.56275889114477e-05,"barbara_mikulski.jpg"
"28",7.39510360290296e-05,0.999926090240479,"barry_hinckley.jpg"
"29",7.20300386092276e-06,0.999992847442627,"ben_cardin.jpg"
"30",6.37606353848241e-05,0.99993622303009,"ben_nelson.jpg"
"31",5.61307433599723e-06,0.999994397163391,"ben_ray_lujan.jpg"
"32",5.18857405040762e-06,0.99999475479126,"ben_sasse.jpg"
"33",3.95111737816478e-06,0.999996066093445,"beto_orourke.jpg"
"34",8.48703507472237e-07,0.999999165534973,"bill_bradbury.jpg"
"35",1.45627418532968e-05,0.999985456466675,"bill_cassidy.jpg"
"36",2.91142691821733e-06,0.999997138977051,"bill_frist.jpg"
"37",8.24068592919502e-07,0.999999165534973,"bill_hagerty.jpg"
"38",1.52705215441529e-05,0.999984741210938,"bill_lloyd.jpg"
"39",5.76391130380216e-06,0.999994277954102,"bill_mccollum.jpg"
"40",1.94402309716679e-05,0.999980568885803,"bill_nelson.jpg"
"41",0.999268591403961,0.000731372623704374,"blanche_lincoln.jpg"
"42",7.2428876592312e-05,0.999927520751953,"bob_bennett.jpg"
"43",3.98957536162925e-06,0.999996066093445,"bob_casey_jr.jpg"
"44",2.34064045798732e-05,0.999976634979248,"bob_clement.jpg"
"45",1.16392438940238e-05,0.999988317489624,"bob_conley.jpg"
"46",1.98918205569498e-05,0.999980092048645,"bob_corker.jpg"
"47",2.25810781557811e-05,0.999977469444275,"bob_franks.jpg"
"48",3.16425794153474e-05,0.999968409538269,"bob_hugin.jpg"
"49",6.43320663584745e-06,0.999993562698364,"bob_inglis.jpg"
"50",0.000389341556001455,0.999610722064972,"bob_kerrey.jpg"
"51",9.40565405471716e-06,0.999990582466125,"bob_menendez.jpg"
"52",8.64990670379484e-06,0.999991297721863,"bob_schaffer.jpg"
"53",3.89566230296623e-05,0.999961018562317,"bob_tuke.jpeg"
"54",7.50061462895246e-06,0.999992489814758,"brad_ellsworth.jpg"
"55",2.08457549888408e-05,0.999979138374329,"brad_hutto.jpg"
"56",2.71099434030475e-05,0.999972939491272,"brian_herr.jpg"
"57",0.0110612278804183,0.988938808441162,"brian_schweitzer.jpg"
"58",5.33066377101932e-05,0.999946713447571,"bruce_braley.jpg"
"59",0.895707428455353,0.104292541742325,"bruce_lunsford.jpeg"
"60",0.0291190855205059,0.97088086605072,"byron_dorgan.jpg"
"61",1.32457770973815e-07,0.99999988079071,"cal_cunningham.jpg"
"62",0.000465161196189001,0.999534845352173,"carl_levin.jpg"
"63",0.999959111213684,4.08820633310825e-05,"carol_m_braun.jpg"
"64",0.999986171722412,1.38845371111529e-05,"catherine_c_masto.jpg"
"65",8.96253914106637e-05,0.999910354614258,"charles_e_summers_jr.jpg"
"66",0.000137386858114041,0.999862551689148,"charles_melancon.jpg"
"67",3.4647269785637e-05,0.999965310096741,"charlie_a_matulka.jpg"
"68",0.999351799488068,0.000648183224257082,"chele_chiavacci_farley.jpg"
"69",0.999920845031738,7.92068967712112e-05,"chellie_pingree.jpg"
"70",8.64161302160937e-06,0.999991416931152,"chris_coons.jpg"
"71",4.6176377509255e-05,0.999953866004944,"chris_janicek.jpg"
"72",4.33569738333972e-07,0.999999523162842,"chris_murphy.jpg"
"73",1.05046492535621e-05,0.99998950958252,"chris_rothfuss.jpg"
"74",5.75277008465491e-05,0.999942421913147,"chris_van_hollen.jpg"
"75",1.26350378195639e-05,0.999987363815308,"chris_vance.jpg"
"76",0.999974846839905,2.51118672167649e-05,"christine_odonnell.jpg"
"77",4.89072481286712e-05,0.999951124191284,"christopher_dodd.jpg"
"78",1.83736374310683e-05,0.999981641769409,"christopher_reed.jpg"
