State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
State(linked tosummaries below),Senator,Party,Electoral history,Results,Candidates
Arizona(Class 3),Martha McSally,Republican,2019 (Appointed),Incumbent lost election.New senator elected.Democratic gain.,Mark Kelly (Democratic)[76] Martha McSally (Republican)[76]
Georgia(Class 3),Kelly Loeffler,Republican,2020 (Appointed),"Incumbent appointee nominated.Runoff on January 5, 2021.",Kelly Loeffler (Republican)[77] Raphael Warnock (Democratic)[77]
