State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
State(linked tosummaries below),Senator,Party,Electoralhistory,Results,Candidates
Minnesota(Class 2),Tina Smith,Democratic,2018 (Appointed),Interim appointee elected.,Tina Smith (Democratic) 53.0% Karin Housley (Republican) 42.4% Sarah Wellington (Legal Marijuana Now) 3.7% Jerry Trooien (independent) 0.9%
Mississippi(Class 2),Cindy Hyde-Smith,Republican,2018 (Appointed),Interim appointee elected.,Cindy Hyde-Smith (Republican) 53.6%[26] Mike Espy (Democratic) 46.4%[26]
